column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,27000
2,45,1283760,61560
3,75,2106000,152640
4,105,2913120,129600
5,135,3694680,419760
6,165,4453920,618480
7,195,5193720,921600
8,225,5911560,937080
9,255,6614640,1309320
10,285,7291800,1460880
11,315,7952760,1307880
12,345,8595000,1947960
13,375,9215280,3056040
14,405,9826200,2438280
15,435,10415160,2927160
16,465,10986480,3446280
17,495,11538360,3098160
18,525,12073680,3664080
19,555,12593880,4108680
20,585,13098240,5043240
21,615,13592520,4293360
22,645,14065200,4161960
23,675,14524560,3767040
24,705,14968080,4282560
25,735,15399360,5093280
26,765,15811920,5175720
27,795,16218000,4790880
28,825,16607160,5404320
29,855,16982640,6283440
30,885,17345160,5767920
31,915,17698320,5910120
32,945,18032760,6539400
33,975,18360360,6951960
34,1005,18672120,6754680
35,1035,18978120,6663240
36,1065,19267200,7243200
37,1095,19545840,6961320
38,1125,19818000,7162560
39,1155,20078640,7686360
40,1185,20327760,7300800
41,1215,20563560,6832080
42,1245,20790360,6254280
43,1275,21011400,6482880
44,1305,21221640,6683040
45,1335,21420000,7339320
46,1365,21614760,8349840
47,1395,21796560,7555320
48,1425,21970080,7636680
49,1455,22135680,7835400
50,1485,22291920,8355960
51,1515,22443840,7403400
52,1545,22579920,8359920
53,1575,22716720,7802640
54,1605,22843440,6856560
55,1635,22960080,9284400
56,1665,23074200,7812000
57,1695,23176440,6961680
58,1725,23272920,7557120
59,1755,23361840,8359200
60,1785,23446440,7596720
61,1815,23527080,8700480
62,1845,23599440,8084880
63,1875,23669280,7651800
64,1905,23726880,7175520
65,1935,23778360,7602120
66,1965,23832000,7101360
67,1995,23873040,7143840
68,2025,23910840,7363800
69,2055,23949720,7657920
70,2085,23973120,6332760
71,2115,23995440,7856640
72,2145,24014880,8660520
73,2175,24029280,7637400
74,2205,24034680,7252200
75,2235,24040800,8476200
76,2265,24036120,7611480
77,2295,24032160,7163280
78,2325,24033240,5707800
79,2355,24017040,7334640
80,2385,23997600,7161480
81,2415,23974920,8074440
82,2445,23954760,6483960
83,2475,23928120,6177600
84,2505,23896440,6179400
85,2535,23859720,6699240
86,2565,23824440,5955840
87,2595,23788080,5175000
88,2625,23740200,5564160
89,2655,23693400,6198840
90,2685,23646960,6849360
91,2715,23592960,6597360
92,2745,23535000,6032880
93,2775,23478480,4745520
94,2805,23418360,4761360
95,2835,23355720,6524640
96,2865,23290560,5265720
97,2895,23222160,5319000
98,2925,23151960,5393520
99,2955,23078160,5454360
100,2985,23004720,5656320
101,3015,22928400,5197320
102,3045,22847400,4333680
103,3075,22767840,4627080
104,3105,22686840,6401520
105,3135,22603680,4884120
106,3165,22514040,4328280
107,3195,22428000,4634640
108,3225,22341960,4520160
109,3255,22249080,4821840
110,3285,22156200,4577400
111,3315,22064400,4142880
112,3345,21970800,4199040
113,3375,21872520,4245480
114,3405,21774600,4569840
115,3435,21678120,3792960
116,3465,21575520,3340800
117,3495,21474720,3596760
118,3525,21368160,4168080
119,3555,21264120,3792600
120,3585,21157920,4151160
121,3615,21057480,3177000
122,3645,20949480,3201120
123,3675,20844000,3135600
124,3705,20736720,3801960
125,3735,20627640,3510720
126,3765,20510280,3163680
127,3795,20408400,3425040
128,3825,20291760,3322800
129,3855,20182320,3239280
130,3885,20066040,2988000
131,3915,19956240,2575800
132,3945,19842480,2686320
133,3975,19731960,2279160
134,4005,19616040,2468160
135,4035,19497960,3069360
136,4065,19383120,2603880
137,4095,19272960,2333160
138,4125,19154160,2753640
139,4155,19040040,2537640
140,4185,18922320,2480760
141,4215,18804960,3496320
142,4245,18687240,2858400
143,4275,18569160,1993320
144,4305,18452880,2722320
145,4335,18337320,1784880
146,4365,18218880,2028240
147,4395,18101520,2093400
148,4425,17982720,1763640
149,4455,17868960,1972080
150,4485,17750160,2189160
151,4515,17626680,1591920
152,4545,17512200,1891800
153,4575,17391960,2325240
154,4605,17274960,1555200
155,4635,17157960,1620000
156,4665,17038800,1704960
157,4695,16926840,2172600
158,4725,16806960,2070000
159,4755,16687440,2192400
160,4785,16569000,1729800
161,4815,16454880,1665720
162,4845,16337880,2094840
163,4875,16219800,2129760
164,4905,16103160,1742400
165,4935,15983640,1310040
166,4965,15869880,2043360
167,4995,15756120,1550520
168,5025,15641280,1265760
169,5055,15525000,1437120
170,5085,15412680,1357920
171,5115,15296400,1559520
172,5145,15184440,1301040
173,5175,15073560,1048680
174,5205,14952960,1106280
175,5235,14844240,1089720
176,5265,14731200,1703880
177,5295,14618160,1049040
178,5325,14507280,1207080
179,5355,14392800,1040040
180,5385,14284080,1208880
181,5415,14175000,1063440
182,5445,14063040,724680
183,5475,13952520,956160
184,5505,13842000,1172520
185,5535,13735800,1348560
186,5565,13625280,1467000
187,5595,13515480,1240200
188,5625,13410360,1144440
189,5655,13302720,720720
190,5685,13198320,929880
191,5715,13089960,1059480
192,5745,12985560,671040
193,5775,12881520,901440
194,5805,12773520,783360
195,5835,12670920,976680
196,5865,12564000,582120
197,5895,12463920,753840
198,5925,12361680,774720
199,5955,12261240,606960
200,5985,12158280,598320
201,6015,12053160,502560
202,6045,11957040,485280
203,6075,11859480,597600
204,6105,11760120,595080
205,6135,11659680,486720
206,6165,11563200,567000
207,6195,11464560,457920
208,6225,11368080,707040
209,6255,11272320,528480
210,6285,11176920,555840
211,6315,11079360,395640
212,6345,10985040,678960
213,6375,10890720,438120
214,6405,10796400,720360
215,6435,10703880,754560
216,6465,10611360,594720
217,6495,10519920,529200
218,6525,10426680,442080
219,6555,10334880,553320
220,6585,10248120,432360
221,6615,10153800,474120
222,6645,10066320,355320
223,6675,9979920,375120
224,6705,9892800,477000
225,6735,9803880,343080
226,6765,9718920,399240
227,6795,9629640,484560
228,6825,9545400,424080
229,6855,9459360,488160
230,6885,9373320,333360
231,6915,9291240,304560
232,6945,9210240,468360
233,6975,9127080,405000
234,7005,9043200,403920
235,7035,8966880,350640
236,7065,8884440,182160
237,7095,8798400,240120
238,7125,8722440,367920
239,7155,8641440,347040
240,7185,8560080,375480
241,7215,8484480,268560
242,7245,8407440,161280
243,7275,8329680,419040
244,7305,8250480,367920
245,7335,8179200,273600
246,7365,8102880,248040
247,7395,8029800,282960
248,7425,7954560,230760
249,7455,7880040,266400
250,7485,7805160,389520
251,7515,7734960,265320
252,7545,7660080,223200
253,7575,7593120,269280
254,7605,7521120,278640
255,7635,7453440,192960
256,7665,7379640,163080
257,7695,7311600,257400
258,7725,7241760,229320
259,7755,7171920,204120
260,7785,7109640,283680
261,7815,7038000,142920
262,7845,6976440,88560
263,7875,6907320,231840
264,7905,6842880,136440
265,7935,6772320,108720
266,7965,6708960,87120
267,7995,6649200,137160
268,8025,6585120,84600
269,8055,6520680,82440
270,8085,6461280,230040
271,8115,6400440,199440
272,8145,6334920,165960
273,8175,6275880,144720
274,8205,6214680,167040
275,8235,6153840,108000
276,8265,6094440,154800
277,8295,6033600,166680
278,8325,5980320,116280
279,8355,5920560,119880
280,8385,5860800,137160
281,8415,5805000,86040
282,8445,5751000,82800
283,8475,5694480,83880
284,8505,5638680,155880
285,8535,5585760,106200
286,8565,5526360,113040
287,8595,5473440,45360
288,8625,5419800,114480
289,8655,5367240,93240
290,8685,5313960,79920
291,8715,5261760,164160
292,8745,5211720,160920
293,8775,5157720,86400
294,8805,5107680,102960
295,8835,5054400,148320
296,8865,5008320,52200
297,8895,4958280,58320
298,8925,4908600,92520
299,8955,4857480,129960
300,8985,4812120,145440
301,9015,4765320,48960
302,9045,4713840,36360
303,9075,4671000,90720
304,9105,4624200,97200
305,9135,4581000,89640
306,9165,4533120,68040
307,9195,4482720,56520
308,9225,4439160,78480
309,9255,4394160,62640
310,9285,4350600,78120
311,9315,4306680,39240
312,9345,4263840,105120
313,9375,4220640,47880
314,9405,4177080,32760
315,9435,4138560,30960
316,9465,4092120,57600
317,9495,4051440,64080
318,9525,4016160,38880
319,9555,3970800,30240
320,9585,3931920,38880
321,9615,3888720,34200
322,9645,3856680,69480
323,9675,3812400,40680
324,9705,3775680,56880
325,9735,3735360,50400
326,9765,3697560,48960
327,9795,3660480,23400
328,9825,3623760,54000
329,9855,3584160,31680
330,9885,3548520,33480
331,9915,3513960,27360
332,9945,3476160,22320
333,9975,3437640,49320
334,10005,3407400,25920
335,10035,3366720,35280
336,10065,3333960,15480
337,10095,3301560,23760
338,10125,3266640,29520
339,10155,3232440,20520
340,10185,3199320,25200
341,10215,3164760,22680
342,10245,3132720,34200
343,10275,3099960,20520
344,10305,3070800,27720
345,10335,3038400,24840
346,10365,3005640,20160
347,10395,2974320,26280
348,10425,2947680,16920
349,10455,2917440,31680
350,10485,2878920,34920
351,10515,2851560,21240
352,10545,2822040,23400
353,10575,2793600,21600
354,10605,2763000,11520
355,10635,2738520,16560
356,10665,2707560,12960
357,10695,2674440,29160
358,10725,2650320,29160
359,10755,2621880,29880
360,10785,2596680,18720
361,10815,2569680,22680
362,10845,2539080,15120
363,10875,2516760,6120
364,10905,2490120,4320
365,10935,2462040,3960
366,10965,2433240,5040
367,10995,2413080,23400
368,11025,2385360,34200
369,11055,2359440,20160
370,11085,2331360,12600
371,11115,2307240,23760
372,11145,2285280,28800
373,11175,2263680,4320
374,11205,2236680,20160
375,11235,2211840,10080
376,11265,2188440,5760
377,11295,2167200,3240
378,11325,2143440,5760
379,11355,2117880,12960
380,11385,2099880,10440
381,11415,2073600,15120
382,11445,2050920,27000
383,11475,2030400,22680
384,11505,2011320,23760
385,11535,1986840,6840
386,11565,1968840,3240
387,11595,1948680,16920
388,11625,1927080,15480
389,11655,1907280,15840
390,11685,1883880,6120
391,11715,1865160,4680
392,11745,1843560,360
393,11775,1824840,4680
394,11805,1803600,720
395,11835,1785240,8280
396,11865,1769760,9360
397,11895,1749960,3600
398,11925,1727280,12960
399,11955,1709280,12600
400,11985,1692360,6120
401,12015,1670760,4320
402,12045,1653480,2520
403,12075,1640160,2520
404,12105,1620000,2880
405,12135,1601640,5400
406,12165,1585080,9720
407,12195,1568160,5400
408,12225,1551600,2880
409,12255,1532520,8280
410,12285,1519920,2880
411,12315,1500480,0
412,12345,1485000,3960
413,12375,1470600,9360
414,12405,1452960,2160
415,12435,1433520,15480
